Year,Make,Vehicle Class,Engine Size,Cylinders,Fuel,Hwy_L_per_100Km,Comb_L_per_100Km,Emissions,Transmission,Gears,Emissions Class,Fuel Efficiency
2000,Acura,Compact,1.6,4,Regular,6.7,8.1,186,Auto,4.0,Medium,Medium Efficiency
2000,Acura,Compact,1.6,4,Regular,6.5,7.6,175,Manual,5.0,Medium,High Efficiency
2000,Acura,Mid-size,3.2,6,Premium,7.4,10.0,230,Auto Shift,5.0,Medium,Medium Efficiency
2000,Acura,Mid-size,3.5,6,Premium,9.2,11.5,264,Auto,4.0,High,Medium Efficiency
2000,Acura,Subcompact,1.8,4,Regular,7.0,8.6,198,Auto,4.0,Medium,Medium Efficiency
2000,Acura,Subcompact,1.8,4,Regular,6.8,8.2,189,Manual,5.0,Medium,Medium Efficiency
2000,Acura,Subcompact,1.8,4,Premium,7.0,8.3,191,Manual,5.0,Medium,Medium Efficiency
2000,Acura,Subcompact,3.0,6,Premium,9.2,11.6,267,Auto Shift,4.0,High,Medium Efficiency
2000,Acura,Subcompact,3.2,6,Premium,9.1,11.7,269,Manual,6.0,High,Medium Efficiency
2000,Audi,Compact,1.8,4,Premium,7.2,9.5,218,Auto,5.0,Medium,Medium Efficiency
2000,Audi,Compact,1.8,4,Premium,6.8,8.4,193,Manual,5.0,Medium,Medium Efficiency
2000,Audi,Compact,2.8,6,Premium,8.2,10.8,248,Auto,5.0,Medium,Medium Efficiency
2000,Audi,Compact,2.8,6,Premium,7.5,9.8,225,Manual,5.0,Medium,Medium Efficiency
2000,Audi,Compact,1.8,4,Premium,7.7,10.1,232,Auto,5.0,Medium,Medium Efficiency
2000,Audi,Compact,1.8,4,Premium,7.5,9.3,214,Manual,5.0,Medium,Medium Efficiency
2000,Audi,Compact,2.8,6,Premium,8.5,11.1,255,Auto,5.0,High,Medium Efficiency
2000,Audi,Compact,2.8,6,Premium,8.7,10.9,251,Manual,5.0,High,Medium Efficiency
2000,Audi,Mid-size,2.8,6,Premium,8.6,11.2,258,Auto,5.0,High,Medium Efficiency
2000,Audi,Station wagon: Mid-size,2.8,6,Premium,9.1,11.7,269,Auto,5.0,High,Medium Efficiency
2000,Audi,Mid-size,2.7,6,Premium,9.0,11.5,264,Auto,5.0,High,Medium Efficiency
2000,Audi,Mid-size,2.7,6,Premium,9.1,11.6,267,Manual,6.0,High,Medium Efficiency
2000,Audi,Mid-size,2.8,6,Premium,9.1,11.7,269,Auto,5.0,High,Medium Efficiency
2000,Audi,Mid-size,2.8,6,Premium,9.2,11.3,260,Manual,5.0,High,Medium Efficiency
2000,Audi,Mid-size,4.2,8,Premium,9.1,11.7,269,Auto,5.0,High,Medium Efficiency
2000,Audi,Mid-size,4.2,8,Premium,9.1,11.7,269,Auto,5.0,High,Medium Efficiency
2000,Audi,Compact,2.7,6,Premium,9.0,11.5,264,Auto,5.0,High,Medium Efficiency
2000,Audi,Compact,2.7,6,Premium,9.1,11.6,267,Manual,6.0,High,Medium Efficiency
2000,Audi,Minicompact,1.8,4,Premium,7.6,9.8,225,Manual,5.0,Medium,Medium Efficiency
2000,Audi,Minicompact,1.8,4,Premium,7.7,9.8,225,Manual,6.0,Medium,Medium Efficiency
2000,Audi,Two-seater,1.8,4,Premium,7.3,9.3,214,Manual,5.0,Medium,Medium Efficiency
2000,Audi,Two-seater,1.8,4,Premium,7.7,9.8,225,Manual,6.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.5,6,Premium,8.9,11.2,258,Auto,5.0,High,Medium Efficiency
2000,Bmw,Compact,2.5,6,Premium,8.6,10.7,246,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.5,6,Premium,7.8,10.3,237,Auto,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.5,6,Premium,7.5,9.7,223,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.5,6,Premium,7.8,10.3,237,Auto,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.5,6,Premium,7.5,9.7,223,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.8,6,Premium,7.9,10.4,239,Auto,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.8,6,Premium,7.5,9.7,223,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.8,6,Premium,7.9,10.4,239,Auto,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.8,6,Premium,7.5,9.7,223,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,2.8,6,Premium,8.4,10.9,251,Auto,4.0,High,Medium Efficiency
2000,Bmw,Compact,2.8,6,Premium,7.5,9.7,223,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Station wagon: Small,2.8,6,Premium,8.4,10.9,251,Auto,4.0,High,Medium Efficiency
2000,Bmw,Station wagon: Small,2.8,6,Premium,8.3,10.8,248,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,4.4,8,Premium,8.8,11.2,258,Auto,5.0,High,Medium Efficiency
2000,Bmw,Compact,4.4,8,Premium,9.1,12.2,281,Manual,6.0,High,Low Efficiency
2000,Bmw,Station wagon: Small,4.4,8,Premium,10.1,12.2,281,Auto,5.0,High,Low Efficiency
2000,Bmw,Mid-size,4.4,8,Premium,9.2,11.7,269,Auto,5.0,High,Medium Efficiency
2000,Bmw,Full-size,4.4,8,Premium,9.2,11.7,269,Auto,5.0,High,Medium Efficiency
2000,Bmw,Full-size,5.4,12,Premium,10.8,14.4,331,Auto,5.0,High,Low Efficiency
2000,Bmw,Two-seater,3.2,6,Premium,8.5,10.6,244,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Minicompact,3.2,6,Premium,8.5,10.6,244,Manual,5.0,Medium,Medium Efficiency
2000,Bmw,Compact,4.9,8,Premium,10.4,14.4,331,Manual,6.0,High,Low Efficiency
